"System_ID","FIPS","System_Name","FTE_Reported_on_2025_QBE_Allotment","Local_Revenues","Per_FTE_Local","X_Local","State_Revenues","Per_FTE_State","X_State","Federal_Revenues","Per_FTE_Federal","X_Federal","Total_Revenues","Per_FTE_Total_Revenues","Instruction","Per_FTE_Instruction","Pupil_Services","Per_FTE_Pupil_Services","Staff_Services","X","Per_FTE_Staff_Services","General_Administration","Per_FTE_General_Administration","School_Administration","Per_FTE_School_Administration","Transportation","Per_FTE_Transportation","Maintenance_Operation","Per_FTE_Maintenance_Operation","Total_Expenditure","Per_FTE_total_Expenditure"
"616","13025","Bulloch County","10,610","58,245,764.09","5,489.70","36.19","94,577,691.80","8,914.01","58.77","8,117,539.03","765.08","5.04","160,940,994.92","15,168.79","100,980,396.79","9,517.47","15,148,592.11","1,427.77","7,824,663.50","","737.48","7,943,342.42","748.67","10,776,729.60","1,015.71","8,512,407.60","802.3","13,923,188.64","1,312.27","165,109,320.66","15,561.67"
"617","13027","Burke County","3,626","128,902,048.16","35,549.38","90.58","4,923,472.67","1,357.82","3.46","8,484,010.59","2,339.77","5.96","142,309,531.42","39,246.97","48,016,072.33","13,242.16","2,793,027.22","770.28","6,087,866.95","","1,678.95","4,281,554.69","1,180.79","4,563,756.05","1,258.62","9,334,342.65","2,574.28","6,597,180.86","1,819.41","81,673,800.75","22,524.49"
"618","13029","Butts County","3,361","23,122,172.52","6,879.55","43.71","25,427,206.03","7,565.37","48.07","4,345,340.55","1,292.87","8.22","52,894,719.10","15,737.79","29,353,529.25","8,733.57","4,567,148.81","1,358.87","3,184,827.70","","947.58","2,351,639.60","699.68","4,142,088.69","1,232.40","3,237,791.16","963.34","3,175,178.71","944.71","50,012,203.92","14,880.15"
"619","13031","Calhoun County","433","3,375,439.89","7,795.47","33.04","4,997,789.82","11,542.24","48.93","1,841,813.91","4,253.61","18.03","10,215,043.62","23,591.32","4,460,335.08","10,301.00","455,504.62","1,051.97","856,560.69","","1,978.20","1,118,584.23","2,583.34","688,573.82","1,590.24","976,687.79","2,255.63","1,204,911.55","2,782.71","9,761,157.78","22,543.09"
"620","13031","Camden County","9,563","40,593,645.83","4,244.87","31.42","79,927,918.28","8,358.04","61.86","8,689,768.42","908.69","6.73","129,211,332.53","13,511.60","78,780,581.64","8,238.06","7,211,315.41","754.09","7,757,253.36","","811.17","2,783,014.76","291.02","7,809,614.01","816.65","5,629,124.87","588.64","10,795,191.74","1,128.85","120,766,095.79","12,628.48"
"621","13031","Candler County","2,051","7,083,434.17","3,453.65","23.71","20,109,605.95","9,804.78","67.31","2,681,780.66","1,307.55","8.98","29,874,820.78","14,565.98","19,363,634.24","9,441.07","913,964.02","445.62","1,770,772.18","","863.37","1,829,727.10","892.11","1,844,236.89","899.19","1,249,071.03","609.01","2,279,194.45","1,111.26","29,250,599.91","14,261.63"
"622","13033","Carroll County","15,981","74,406,295.05","4,655.92","33.29","137,337,760.34","8,593.82","61.45","11,733,957.21","734.24","5.25","223,478,012.60","13,983.98","140,338,112.88","8,781.56","8,664,227.82","542.16","8,470,111.21","","530.01","6,317,762.54","395.33","14,868,254.98","930.37","12,701,932.82","794.81","20,590,655.68","1,288.45","211,951,057.93","13,262.69"
"623","13035","Catoosa County","9,890","53,340,213.40","5,393.35","36.27","87,732,608.61","8,870.84","59.65","5,999,057.54","606.58","4.08","147,071,879.55","14,870.77","97,388,543.42","9,847.17","7,523,974.13","760.77","6,863,649.41","","694","3,717,928.75","375.93","10,570,867.48","1,068.84","8,439,225.14","853.31","12,262,587.13","1,239.90","146,766,775.46","14,839.92"
"624","13037","Charlton County","1,525","6,726,637.51","4,410.91","27.53","15,546,982.68","10,194.74","63.64","2,156,398.25","1,414.03","8.83","24,430,018.44","16,019.68","14,710,571.98","9,646.28","938,941.75","615.7","1,900,449.36","","1,246.20","1,038,558.83","681.02","1,630,805.12","1,069.38","1,299,343.16","852.03","2,262,179.42","1,483.40","23,780,849.62","15,594.01"
"625",NA,"Savannah-Chatham County","34,915","436,072,910.02","12,489.56","61.59","219,287,870.18","6,280.62","30.97","52,619,797.63","1,507.08","7.43","707,980,577.83","20,277.26","374,211,231.99","10,717.78","45,226,350.67","1,295.33","34,312,362.08","","982.74","38,500,107.66","1,102.68","39,343,339.34","1,126.83","34,161,232.78","978.41","69,556,155.16","1,992.16","635,310,779.68","18,195.93"
