,,,,,,,,,,,,,
"Georgia Department of Education

School System Revenues
Fiscal Year 2025 Financial Data Collection System",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Please note: Systems marked with *  received funds that followed students to other systems.
              Legend at bottom of the page.",,,,,,,,,,,,,
,,,,,,,,,,,,,
Records are sorted in Ascending order by System_id,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
System ID,System Name,FTE Reported on 2025 QBE Allotment,Local Revenues,Per FTE Local,% Local,State Revenues,Per FTE State,% State,Federal Revenues,Per FTE Federal,% Federal,Total Revenues,Per FTE Total Revenues
 699,Meriwether County,"2,154","15,500,687.14","7,196.23",36.02,"21,344,215.16","9,909.11",49.60,"6,187,171.91","2,872.41",14.38,"43,032,074.21","19,977.75"
 700,Miller County,738,"4,323,396.25","5,858.26",35.21,"7,146,293.78","9,683.32",58.20,"808,366.37","1,095.35",6.58,"12,278,056.40","16,636.93"
 701,Mitchell County,"1,154","15,817,192.24","13,706.41",54.41,"10,336,292.07","8,956.93",35.56,"2,917,462.84","2,528.13",10.04,"29,070,947.15","25,191.47"
 702,Monroe County,"4,556","32,399,898.41","7,111.48",46.59,"34,802,594.68","7,638.85",50.04,"2,347,002.57",515.15,3.37,"69,549,495.66","15,265.48"
 703,Montgomery County,864,"4,273,203.30","4,945.84",28.23,"9,736,969.81","11,269.64",64.34,"1,124,620.70","1,301.64",7.43,"15,134,793.81","17,517.12"
 704,Morgan County,"3,514","25,105,461.07","7,144.41",47.35,"25,727,727.52","7,321.49",48.52,"2,189,950.29",623.21,4.13,"53,023,138.88","15,089.11"
 705,Murray County,"6,502","22,442,124.68","3,451.57",27.15,"55,718,541.29","8,569.45",67.42,"4,486,458.73",690.01,5.43,"82,647,124.70","12,711.03"
 706,Muscogee County,"28,835","155,961,890.72","5,408.77",35.57,"244,782,513.84","8,489.08",55.82,"37,752,447.21","1,309.26",8.61,"438,496,851.77","15,207.11"
 707,Newton County,"18,402","100,497,735.07","5,461.24",38.06,"144,942,747.02","7,876.47",54.89,"18,613,011.86","1,011.47",7.05,"264,053,493.95","14,349.18"
 708,Oconee County,"8,539","58,807,585.40","6,886.94",47.35,"62,485,976.65","7,317.72",50.31,"2,912,041.55",341.03,2.34,"124,205,603.60","14,545.69"
 709,Oglethorpe County,"2,287","12,746,143.74","5,573.30",37.58,"19,357,414.20","8,464.11",57.07,"1,812,573.07",792.55,5.34,"33,916,131.01","14,829.96"
 710,Paulding County,"31,566","170,499,135.17","5,401.35",36.78,"274,740,812.84","8,703.69",59.27,"18,278,436.46",579.05,3.94,"463,518,384.47","14,684.09"
 711,Peach County,"3,918","17,773,273.40","4,536.31",32.00,"33,625,631.22","8,582.35",60.53,"4,150,534.62","1,059.35",7.47,"55,549,439.24","14,178.01"
 712,Pickens County,"3,920","32,193,561.88","8,212.64",50.89,"28,391,194.90","7,242.65",44.88,"2,681,946.94",684.17,4.24,"63,266,703.72","16,139.46"
 713,Pierce County,"3,565","12,356,872.80","3,466.16",25.32,"33,582,195.63","9,419.97",68.82,"2,856,221.64",801.18,5.85,"48,795,290.07","13,687.31"
 714,Pike County,"3,351","16,232,896.62","4,844.19",34.28,"27,937,450.23","8,337.05",59.00,"3,180,666.47",949.17,6.72,"47,351,013.32","14,130.41"
 715,Polk County,"7,611","26,616,705.94","3,497.14",26.89,"66,472,555.88","8,733.75",67.15,"5,907,475.17",776.18,5.97,"98,996,736.99","13,007.07"
 716,Pulaski County,"1,250","5,724,581.94","4,579.67",28.89,"11,166,802.64","8,933.44",56.36,"2,921,930.08","2,337.54",14.75,"19,813,314.66","15,850.65"
 717,Putnam County,"2,842","29,103,236.30","10,240.41",55.36,"17,258,295.41","6,072.59",32.83,"6,204,929.80","2,183.30",11.80,"52,566,461.51","18,496.30"
 718,Quitman County,288,"1,779,450.00","6,178.65",24.93,"4,236,782.62","14,711.05",59.35,"1,122,210.58","3,896.56",15.72,"7,138,443.20","24,786.26"
 719,Rabun County,"2,182","27,334,211.07","12,527.14",66.10,"11,838,038.64","5,425.32",28.63,"2,177,513.23",997.94,5.27,"41,349,762.94","18,950.40"
 720,Randolph County,556,"4,486,186.47","8,068.68",38.78,"5,659,746.14","10,179.40",48.93,"1,421,609.07","2,556.85",12.29,"11,567,541.68","20,804.93"
 721,Richmond County,"28,048","151,006,003.97","5,383.84",34.66,"227,064,000.86","8,095.55",52.12,"57,622,683.63","2,054.43",13.23,"435,692,688.46","15,533.82"
