"Georgia Department of Education

School System Expenditures
Fiscal Year 2025 Financial Data Collection System",,,,,,,,,,,,,,,,,,,,
,"Please note: Systems marked with *  received funds that followed students to other systems.
              Legend at bottom of the page.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Records are sorted in Ascending order by System_id,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,System ID,System Name,FTE Reported on 2025 QBE Allotment,Instruction,Per FTE Instruction,Pupil Services,Per FTE Pupil Services,Staff Services,,Per FTE Staff Services,General Administration,Per FTE General Administration,School Administration,Per FTE School Administration,Transportation,Per FTE Transportation,Maintenance & Operation,Per FTE Maintenance & Operation,Total Expenditure,Per FTE total Expenditure
, 704,Morgan County,"3,514","34,059,850.04","9,692.62","3,253,527.69",925.88,"1,904,850.75",,542.07,"3,760,391.22","1,070.12","2,897,319.11",824.51,"3,443,244.64",979.86,"4,215,593.28","1,199.66","53,534,776.73","15,234.72"
, 705,Murray County,"6,502","53,880,303.29","8,286.73","3,404,354.06",523.59,"4,630,367.87",,712.15,"3,553,663.61",546.55,"5,342,028.36",821.60,"5,572,103.21",856.98,"7,184,853.76","1,105.02","83,567,674.16","12,852.62"
, 706,Muscogee County,"28,835","265,000,698.29","9,190.24","17,858,475.22",619.33,"28,218,614.21",,978.62,"22,664,725.65",786.01,"25,102,328.29",870.55,"20,072,459.64",696.11,"39,989,445.82","1,386.84","418,906,747.12","14,527.70"
, 707,Newton County,"18,402","163,233,459.08","8,870.42","17,157,832.75",932.39,"25,933,753.93",,"1,409.29","8,657,442.11",470.46,"17,064,846.97",927.34,"15,526,747.32",843.75,"22,695,492.75","1,233.32","270,269,574.91","14,686.97"
, 708,Oconee County,"8,539","82,189,328.90","9,625.17","3,850,046.17",450.88,"2,961,058.59",,346.77,"2,867,290.61",335.79,"7,804,164.38",913.94,"5,330,177.76",624.22,"9,044,137.07","1,059.16","114,046,203.48","13,355.93"
, 709,Oglethorpe County,"2,287","21,529,712.38","9,413.95","1,500,710.52",656.19,"2,028,439.85",,886.94,"1,176,265.64",514.33,"1,888,827.33",825.90,"2,200,264.18",962.07,"2,477,456.74","1,083.28","32,801,676.64","14,342.66"
, 710,Paulding County,"31,566","303,580,365.29","9,617.32","20,902,189.53",662.17,"31,131,422.98",,986.23,"13,762,389.85",435.99,"26,147,767.04",828.35,"28,301,608.30",896.59,"29,004,478.84",918.85,"452,830,221.83","14,345.50"
, 711,Peach County,"3,918","33,072,542.91","8,441.18","3,497,845.83",892.76,"2,554,369.75",,651.96,"3,006,839.36",767.44,"3,321,233.03",847.69,"3,067,934.37",783.04,"3,972,119.03","1,013.81","52,492,884.28","13,397.88"
, 712,Pickens County,"3,920","38,082,934.09","9,715.03","3,165,686.88",807.57,"5,658,757.89",,"1,443.56","2,310,226.84",589.34,"3,544,109.89",904.11,"4,261,759.09","1,087.18","6,020,440.03","1,535.83","63,043,914.71","16,082.62"
, 713,Pierce County,"3,565","29,923,855.12","8,393.79","3,405,460.10",955.25,"2,302,882.87",,645.97,"1,842,337.36",516.78,"3,309,772.42",928.41,"1,948,845.84",546.66,"3,522,217.68",988.00,"46,255,371.39","12,974.86"
, 714,Pike County,"3,351","30,089,442.46","8,979.24","3,028,474.18",903.75,"1,939,150.04",,578.68,"1,918,039.24",572.38,"2,489,090.74",742.79,"3,229,148.78",963.64,"3,240,978.51",967.17,"45,934,323.95","13,707.65"
, 715,Polk County,"7,611","65,664,163.98","8,627.53","4,721,072.63",620.30,"3,622,530.60",,475.96,"2,669,234.53",350.71,"6,001,132.62",788.48,"4,889,705.86",642.45,"9,916,039.68","1,302.86","97,483,879.90","12,808.29"
, 716,Pulaski County,"1,250","10,370,561.47","8,296.45","1,108,529.42",886.82,"901,053.46",,720.84,"1,436,113.51","1,148.89","1,177,242.32",941.79,"948,149.07",758.52,"1,342,881.16","1,074.30","17,284,530.41","13,827.61"
, 717,Putnam County,"2,842","29,685,506.26","10,445.29","2,224,185.73",782.61,"2,479,524.65",,872.46,"3,143,060.77","1,105.93","2,856,380.51","1,005.06","3,416,077.38","1,202.00","4,302,320.43","1,513.84","48,107,055.73","16,927.19"
, 718,Quitman County,288,"3,000,228.81","10,417.46","348,935.72","1,211.58","725,139.13",,"2,517.84","813,945.21","2,826.20","549,651.04","1,908.51","354,956.62","1,232.49","679,725.12","2,360.16","6,472,581.65","22,474.24"
, 719,Rabun County,"2,182","25,699,520.71","11,777.97","1,783,374.19",817.31,"1,548,655.74",,709.74,"2,548,238.33","1,167.85","2,538,796.33","1,163.52","2,275,682.09","1,042.93","3,955,618.72","1,812.84","40,349,886.11","18,492.16"
, 720,Randolph County,556,"4,940,339.20","8,885.50","687,973.33","1,237.36","1,729,551.24",,"3,110.70","883,129.80","1,588.36","977,915.39","1,758.84","600,062.75","1,079.25","1,410,160.11","2,536.26","11,229,131.82","20,196.27"
, 721,Richmond County,"28,048","238,480,971.26","8,502.60","24,202,697.81",862.90,"33,450,801.23",,"1,192.63","21,888,263.48",780.39,"33,606,081.64","1,198.16","29,726,749.17","1,059.85","39,911,134.85","1,422.96","421,266,699.44","15,019.49"
, 722,Rockdale County,"15,298","145,522,241.20","9,512.50","13,033,224.84",851.96,"17,239,963.13",,"1,126.94","13,473,548.34",880.74,"17,076,927.87","1,116.28","15,248,317.55",996.75,"17,240,339.29","1,126.97","238,834,562.22","15,612.14"
, 723,Schley County,"1,183","10,218,168.53","8,637.51","974,139.96",823.45,"608,465.24",,514.34,"980,610.51",828.92,"1,018,616.29",861.05,"663,388.56",560.77,"1,404,528.97","1,187.26","15,867,918.06","13,413.30"
, 724,Screven County,"1,990","17,369,435.29","8,728.36","1,381,702.99",694.32,"1,428,059.60",,717.62,"1,717,964.90",863.30,"1,829,475.25",919.33,"1,737,572.94",873.15,"2,709,175.59","1,361.39","28,173,386.56","14,157.47"
, 725,Seminole County,"1,287","11,631,934.93","9,038.02","2,360,045.72","1,833.76","1,969,891.12",,"1,530.61","885,939.38",688.38,"1,128,531.78",876.87,"966,055.72",750.63,"1,443,537.52","1,121.63","20,385,936.17","15,839.90"
, 726,Griffin-Spalding County,"8,974","73,419,381.64","8,181.34","13,002,875.16","1,448.95","12,360,342.14",,"1,377.35","8,001,407.51",891.62,"10,843,402.18","1,208.31","6,976,975.97",777.47,"11,828,024.25","1,318.03","136,432,408.85","15,203.07"
, 727,Stephens County,"3,705","33,522,458.86","9,047.90","3,958,461.25","1,068.41","2,879,318.63",,777.14,"2,620,453.27",707.27,"2,931,401.86",791.20,"2,915,273.64",786.85,"4,569,831.03","1,233.42","53,397,198.54","14,412.19"
, 728,Stewart County,320,"4,815,835.32","15,049.49","1,037,263.90","3,241.45","637,007.58",,"1,990.65","968,497.90","3,026.56","658,783.50","2,058.70","854,175.55","2,669.30","711,211.00","2,222.53","9,682,774.75","30,258.68"
, 729,Sumter County,"3,442","32,595,122.84","9,469.82","3,870,397.37","1,124.46","4,754,728.92",,"1,381.39","2,745,158.96",797.55,"3,380,571.34",982.15,"4,070,054.26","1,182.47","5,805,959.95","1,686.80","57,221,993.64","16,624.64"
, 730,Talbot County,349,"4,469,703.61","12,807.17","582,580.08","1,669.28","779,543.49",,"2,233.65","780,249.19","2,235.67","546,532.63","1,566.00","687,031.60","1,968.57","1,305,807.16","3,741.57","9,151,447.76","26,221.91"
, 731,Taliaferro County,184,"2,559,009.56","13,907.66","667,234.44","3,626.27","334,095.03",,"1,815.73","630,682.56","3,427.62","314,341.90","1,708.38","250,611.78","1,362.02","289,072.16","1,571.04","5,045,047.43","27,418.72"
, 732,Tattnall County,"3,374","30,317,785.58","8,985.71","2,486,235.54",736.88,"2,725,512.82",,807.80,"2,461,868.20",729.66,"2,695,175.21",798.81,"2,998,958.08",888.84,"3,378,515.77","1,001.34","47,064,051.20","13,949.04"
, 733,Taylor County,"1,131","12,867,998.10","11,377.54","756,030.34",668.46,"759,008.68",,671.10,"1,016,362.38",898.64,"955,471.09",844.80,"920,084.28",813.51,"2,453,174.05","2,169.03","19,728,128.92","17,443.08"
, 734,Telfair County,"1,448","14,081,045.31","9,724.48","1,117,534.25",771.78,"850,673.62",,587.48,"1,222,396.49",844.20,"1,728,452.42","1,193.68","1,267,261.57",875.18,"2,566,645.01","1,772.54","22,834,008.67","15,769.34"
, 735,Terrell County,896,"9,218,339.42","10,288.33","1,810,553.08","2,020.71","1,636,081.84",,"1,825.98","1,471,131.55","1,641.89","1,472,470.59","1,643.38","1,095,831.67","1,223.03","2,189,579.57","2,443.73","18,893,987.72","21,087.05"
, 736,Thomas County,"5,534","55,638,879.61","10,054.01","4,293,265.82",775.80,"5,104,142.07",,922.32,"3,365,353.96",608.12,"4,444,117.81",803.06,"4,927,905.71",890.48,"6,580,823.27","1,189.16","84,354,488.25","15,242.95"
, 737,Tift County,"7,297","64,340,229.60","8,817.35","4,735,372.48",648.95,"6,306,616.42",,864.28,"2,141,915.47",293.53,"6,618,976.58",907.08,"2,717,703.09",372.44,"7,747,746.13","1,061.77","94,608,559.77","12,965.40"
, 738,Toombs County,"3,002","27,179,551.00","9,053.81","2,451,711.41",816.69,"2,256,213.74",,751.57,"1,024,029.79",341.12,"1,963,590.53",654.09,"2,038,976.92",679.21,"2,949,621.55",982.55,"39,863,694.94","13,279.04"
, 739,Towns County,920,"12,089,240.68","13,140.48","1,736,101.06","1,887.07","664,826.91",,722.64,"777,358.96",844.96,"861,816.54",936.76,"1,118,912.20","1,216.21","1,896,874.47","2,061.82","19,145,130.82","20,809.94"
, 740,Treutlen County,963,"10,138,235.47","10,527.76","576,481.14",598.63,"1,024,772.92",,"1,064.15","825,165.32",856.87,"1,088,090.82","1,129.90","1,083,683.93","1,125.32","1,516,917.44","1,575.20","16,253,347.04","16,877.83"
, 741,Troup County,"11,939","104,083,834.62","8,717.97","12,544,832.99","1,050.74","11,073,208.94",,927.48,"6,416,953.27",537.48,"11,711,769.81",980.97,"14,601,691.63","1,223.02","15,066,000.59","1,261.91","175,498,291.85","14,699.57"
, 742,Turner County,"1,054","11,288,618.98","10,710.26","1,150,601.50","1,091.65","1,960,359.23",,"1,859.92","1,461,101.20","1,386.24","1,186,469.89","1,125.68","1,024,910.31",972.40,"2,345,548.00","2,225.38","20,417,609.11","19,371.53"
, 743,Twiggs County,702,"5,989,747.54","8,532.40","1,503,721.04","2,142.05","818,149.04",,"1,165.45","1,572,165.23","2,239.55","916,750.38","1,305.91","1,099,749.11","1,566.59","1,813,218.41","2,582.93","13,713,500.75","19,534.88"
, 744,Union County,"2,905","28,612,696.64","9,849.47","3,184,016.57","1,096.05","1,934,547.48",,665.94,"1,881,174.31",647.56,"2,840,850.86",977.92,"2,060,896.23",709.43,"6,307,545.58","2,171.27","46,821,727.67","16,117.64"
, 745,Thomaston-Upson County,"3,885","36,118,894.06","9,297.01","2,632,660.07",677.65,"3,036,160.91",,781.51,"2,518,166.19",648.18,"3,714,462.30",956.10,"3,416,741.57",879.47,"5,197,258.97","1,337.78","56,634,344.07","14,577.70"
, 746,Walker County,"8,103","84,982,937.19","10,487.84","7,460,891.10",920.76,"6,121,128.60",,755.42,"3,301,628.09",407.46,"8,508,714.23","1,050.07","6,801,541.76",839.39,"10,121,031.84","1,249.05","127,297,872.81","15,709.99"
, 747,Walton County,"14,556","131,323,239.47","9,021.93","7,212,461.76",495.50,"10,096,615.91",,693.64,"5,496,714.60",377.63,"11,770,376.83",808.63,"12,015,718.14",825.48,"15,167,212.32","1,041.99","193,082,339.03","13,264.80"
, 748,Ware County,"5,673","56,864,308.84","10,023.68","4,711,064.13",830.44,"5,211,478.29",,918.65,"2,938,027.09",517.90,"5,715,492.61","1,007.49","5,359,171.34",944.68,"9,101,197.21","1,604.30","89,900,739.51","15,847.14"
, 749,Warren County,662,"7,184,998.02","10,853.47","707,731.65","1,069.08","682,555.13",,"1,031.05","1,333,578.15","2,014.47","799,245.36","1,207.32","832,884.78","1,258.13","1,216,622.74","1,837.80","12,757,615.83","19,271.32"
, 750,Washington County,"2,610","21,751,936.35","8,334.08","2,002,641.88",767.30,"2,405,974.85",,921.83,"2,296,291.91",879.81,"3,248,990.09","1,244.82","2,148,923.21",823.34,"3,546,556.24","1,358.83","37,401,314.53","14,330.01"
, 751,Wayne County,"5,159","43,860,984.94","8,501.84","3,100,616.34",601.01,"5,639,788.79",,"1,093.19","3,593,893.07",696.63,"3,625,533.74",702.76,"3,611,858.83",700.11,"6,300,289.66","1,221.22","69,732,965.37","13,516.76"
, 752,Webster County,216,"2,803,809.23","12,980.60","258,464.14","1,196.59","227,023.77",,"1,051.04","851,782.26","3,943.44","422,910.61","1,957.92","368,395.49","1,705.53","707,922.55","3,277.42","5,640,308.05","26,112.54"
, 753,Wheeler County,788,"7,449,122.36","9,453.20","639,520.62",811.57,"570,811.46",,724.38,"1,079,453.90","1,369.87","1,260,991.92","1,600.24","997,182.51","1,265.46","1,085,106.38","1,377.04","13,082,189.15","16,601.76"
, 754,White County,"3,707","38,114,953.73","10,281.89","2,713,964.73",732.12,"2,331,095.38",,628.84,"2,181,293.38",588.43,"3,665,429.58",988.79,"3,317,069.67",894.81,"4,443,727.88","1,198.74","56,767,534.35","15,313.62"
, 755,Whitfield County,"12,078","113,510,800.08","9,398.15","8,267,498.48",684.51,"8,422,692.48",,697.36,"7,267,225.29",601.69,"12,302,443.12","1,018.58","8,617,019.75",713.45,"12,677,500.29","1,049.64","171,065,179.49","14,163.38"
, 756,Wilcox County,"1,070","10,144,929.97","9,481.24","747,962.02",699.03,"870,472.68",,813.53,"1,015,134.82",948.72,"1,018,007.46",951.41,"1,215,095.76","1,135.60","1,686,156.33","1,575.85","16,697,759.04","15,605.38"
, 757,Wilkes County,"1,211","11,500,631.39","9,496.81","1,388,066.15","1,146.21","955,231.24",,788.80,"1,080,350.33",892.11,"1,260,011.95","1,040.47","2,256,360.76","1,863.22","2,221,945.10","1,834.80","20,662,596.92","17,062.42"
, 758,Wilkinson County,990,"9,052,760.77","9,144.20","639,891.57",646.36,"1,562,268.16",,"1,578.05","1,189,741.28","1,201.76","1,983,766.80","2,003.80","1,327,723.17","1,341.13","1,870,186.84","1,889.08","17,626,338.59","17,804.38"
, 759,Worth County,"2,937","22,419,540.27","7,633.48","2,989,367.37","1,017.83","2,401,717.34",,817.75,"1,440,809.75",490.57,"1,893,239.37",644.62,"2,596,401.79",884.03,"3,922,575.33","1,335.57","37,663,651.22","12,823.85"
, 761,Atlanta Public Schools,"49,515","782,360,313.47","15,800.47","97,694,579.00","1,973.03","100,920,981.49",,"2,038.19","82,165,500.30","1,659.41","85,169,804.50","1,720.08","64,195,390.44","1,296.48","145,212,647.67","2,932.70","1,357,719,216.87","27,420.36"
, 763,Bremen City,"2,278","20,203,218.42","8,868.84","1,688,841.79",741.37,"637,565.79",,279.88,"1,497,859.45",657.53,"1,787,808.83",784.82,"344,520.47",151.24,"2,812,156.52","1,234.48","28,971,971.27","12,718.16"
, 764,Buford City,"6,129","58,887,237.60","9,607.97","4,262,258.66",695.42,"1,530,330.65",,249.69,"5,814,920.49",948.76,"5,452,190.13",889.57,"2,904,656.43",473.92,"8,811,320.25","1,437.64","87,662,914.21","14,302.97"
, 765,Calhoun City,"4,188","30,536,157.20","7,291.35","4,191,838.83","1,000.92","3,162,914.45",,755.23,"2,163,760.44",516.66,"3,021,506.43",721.47,"1,366,538.46",326.30,"4,064,712.29",970.56,"48,507,428.10","11,582.49"
, 766,Carrollton City,"5,803","49,677,767.02","8,560.70","2,933,033.02",505.43,"4,301,414.51",,741.24,"3,965,006.25",683.27,"5,766,773.41",993.76,"4,087,223.76",704.33,"6,959,465.25","1,199.29","77,690,683.22","13,388.02"
, 767,Cartersville City,"4,682","43,928,254.10","9,382.37","4,389,502.94",937.53,"4,510,321.50",,963.33,"3,446,630.11",736.14,"3,468,533.37",740.82,"3,139,534.06",670.55,"4,822,179.56","1,029.94","67,704,955.64","14,460.68"
, 769,Chickamauga City,"1,268","9,471,898.01","7,469.95","830,468.98",654.94,"389,541.55",,307.21,"1,374,396.69","1,083.91","1,063,667.04",838.85,"321,527.21",253.57,"2,281,531.94","1,799.32","15,733,031.42","12,407.75"
, 771,Commerce City,"1,884","16,625,601.49","8,824.63","1,561,307.31",828.72,"1,495,726.68",,793.91,"1,119,287.84",594.10,"1,523,781.91",808.80,"1,072,085.03",569.05,"2,081,323.76","1,104.74","25,479,114.02","13,523.95"
, 772,Dalton Public Schools,"7,780","76,521,655.50","9,835.69","6,033,160.61",775.47,"7,653,129.38",,983.69,"4,196,166.86",539.35,"7,601,990.67",977.12,"5,217,385.34",670.62,"9,646,795.67","1,239.95","116,870,284.03","15,021.89"
, 773,City Schools of Decatur,"5,302","64,076,902.42","12,085.42","6,370,265.88","1,201.48","4,637,176.99",,874.61,"8,148,879.47","1,536.94","8,705,979.95","1,642.02","2,450,933.93",462.27,"10,936,872.25","2,062.78","105,327,010.89","19,865.52"
, 774,Dublin City,"2,244","20,922,005.59","9,323.53","2,796,123.27","1,246.04","3,264,165.74",,"1,454.62","2,951,072.02","1,315.09","2,701,927.35","1,204.07","1,535,052.14",684.07,"3,867,253.03","1,723.37","38,037,599.14","16,950.79"
, 776,Gainesville City,"9,024","71,110,439.37","7,880.15","5,706,816.29",632.40,"4,171,132.86",,462.23,"8,347,240.50",925.00,"8,436,518.26",934.90,"5,319,401.31",589.47,"12,462,438.93","1,381.03","115,553,987.52","12,805.18"
, 779,Jefferson City,"4,161","35,370,293.16","8,500.43","2,243,956.16",539.28,"2,596,586.55",,624.03,"1,599,911.23",384.50,"2,981,049.86",716.43,"1,850,699.19",444.77,"3,782,362.43",909.00,"50,424,858.58","12,118.44"
, 781,Marietta City,"9,108","105,048,154.71","11,533.61","12,102,231.46","1,328.75","13,139,093.44",,"1,442.59","7,000,654.22",768.63,"12,823,183.24","1,407.90","9,115,589.14","1,000.83","9,451,215.28","1,037.68","168,680,121.49","18,519.99"
, 7820108,State Specialty Schools I-Mountain Education High School,"1,602","7,613,726.68","4,752.64","1,645,374.06","1,027.07","2,400,654.81",,"1,498.54","1,391,357.85",868.51,"3,241,422.57","2,023.36","63,306.20",39.52,"862,421.50",538.34,"17,218,263.67","10,747.98"
, 7820110,State Specialty Schools I-Odyssey Charter School,360,"3,976,571.10","11,046.03","600,485.65","1,668.02","1,918,445.98",,"5,329.02","600,190.90","1,667.20","368,769.40","1,024.36","124,716.27",346.43,"410,827.64","1,141.19","8,000,006.94","22,222.25"
, 7820120,State Specialty Schools I-Georgia Cyber Academy (Virtual),"10,151","92,416,908.94","9,104.22","14,831,390.47","1,461.08","2,892,219.00",,284.92,"3,068,952.09",302.33,"3,435,291.64",338.42,"20,036.30",1.97,"155,261.09",15.30,"116,820,059.53","11,508.24"
, 7820412,State Specialty Schools I-Georgia Connections Academy (Virtual),"7,008","50,913,158.74","7,265.01","1,907,720.95",272.22,"919,396.43",,131.19,"3,297,550.79",470.54,"8,316,195.29","1,186.67",,,"63,949.46",9.13,"65,417,971.66","9,334.76"
, 7820612,"State Specialty Schools I-Ivy Preparatory Academy, Inc",431,"3,220,179.45","7,471.41","455,210.01","1,056.17","168,342.26",,390.59,"315,020.83",730.91,"1,114,946.86","2,586.88","267,288.47",620.16,"984,450.08","2,284.11","6,525,437.96","15,140.23"
, 7820613,State Specialty Schools I-Foothills Regional High School,"1,382","8,225,450.46","5,951.85","6,148,594.56","4,449.06","1,203,866.94",,871.10,"3,994,549.05","2,890.41","2,543,736.99","1,840.62","4,562.64",3.30,"654,030.98",473.25,"22,774,791.62","16,479.59"
, 7820614,State Specialty Schools I-International Charter School of Atlanta,849,"6,373,238.84","7,506.76","803,912.78",946.89,"684,845.54",,806.65,"1,317,721.87","1,552.09","679,236.36",800.04,"18,469.88",21.75,"1,114,744.34","1,313.01","10,992,169.61","12,947.19"
, 7820615,State Specialty Schools I-Scintilla Charter Academy,949,"7,920,613.62","8,346.27","685,347.24",722.18,"356,116.13",,375.25,"731,861.07",771.19,"707,009.64",745.00,"33,378.57",35.17,"1,193,777.60","1,257.93","11,628,103.87","12,252.99"
, 7820616,State Specialty Schools I-Georgia School for Innovation and the Classics,"1,009","6,339,581.48","6,283.03","410,727.23",407.06,"334,193.06",,331.21,"206,833.87",204.99,"571,250.28",566.15,"2,816.00",2.79,"2,582,626.30","2,559.59","10,448,028.22","10,354.82"
, 7820617,State Specialty Schools I-Dubois Integrity Academy,"1,328","10,167,487.11","7,656.24","988,815.23",744.59,"1,486,976.22",,"1,119.71","1,629,255.89","1,226.85","1,418,625.40","1,068.24","144,032.23",108.46,"5,995,429.27","4,514.63","21,830,621.35","16,438.72"
, 7820618,State Specialty Schools I-Coastal Plains High School,"1,066","5,803,796.25","5,444.46","3,416,424.23","3,204.90","462,555.83",,433.92,"3,878,939.16","3,638.78","2,458,659.33","2,306.43",,,"2,836,223.95","2,660.62","18,856,598.75","17,689.11"
, 7820619,State Specialty Schools I-Utopian Academy for the Arts Trilith,150,"1,311,994.24","8,746.63","12,526.50",83.51,0.00,,0.00,"603,753.37","4,025.02","539,677.38","3,597.85",0.00,0.00,"98,156.60",654.38,"2,566,108.09","17,107.39"
, 7820620,State Specialty Schools I-Discovery Regional High School,140,"1,413,742.94","10,098.16","144,025.57","1,028.75","189,854.72",,"1,356.11","105,352.31",752.52,"229,948.60","1,642.49",,,"43,596.25",311.40,"2,126,520.39","15,189.43"
, 7830103,State Specialty Schools II-Statesboro STEAM Academy,202,"2,043,641.00","10,117.03","38,163.00",188.93,"30,034.00",,148.68,"72,059.00",356.73,"518,987.00","2,569.24","9,171.00",45.40,"310,594.00","1,537.59","3,022,649.00","14,963.60"
, 7830210,State Specialty Schools II-Pataula Charter Academy,584,"4,997,873.85","8,558.00","316,125.05",541.31,"435,566.10",,745.83,"50,777.19",86.95,"1,336,633.06","2,288.76","397,652.45",680.91,"1,165,331.77","1,995.43","8,699,959.47","14,897.19"
, 7830410,State Specialty Schools II-Atlanta Heights Charter School,646,"5,780,668.72","8,948.40","506,745.85",784.44,"702,706.07",,"1,087.78","1,136,203.45","1,758.83","1,428,790.33","2,211.75","5,957.18",9.22,"2,695,754.96","4,173.00","12,256,826.56","18,973.42"
, 7830610,State Specialty Schools II-Coweta Charter Academy,459,"5,395,165.93","11,754.17","363,639.15",792.24,"238,780.86",,520.22,"313,930.82",683.95,"1,888,046.92","4,113.39","4,218.00",9.19,"852,253.91","1,856.76","9,056,035.59","19,729.92"
, 7830611,State Specialty Schools II-Cirrus Charter Academy,425,"3,953,535.31","9,302.44","413,245.42",972.34,"386,731.77",,909.96,"628,739.35","1,479.39","1,341,941.96","3,157.51","3,529.78",8.31,"616,078.52","1,449.60","7,343,802.11","17,279.55"
, 7830612,State Specialty Schools II-Southwest Georgia S.T.E.M. Charter Academy,499,"4,558,999.08","9,136.27","258,312.29",517.66,"434,859.20",,871.46,"432,575.10",866.88,"426,682.93",855.08,"353,356.32",708.13,"854,915.65","1,713.26","7,319,700.57","14,668.74"
, 7830613,State Specialty Schools II-Brookhaven Innovation Academy,529,"4,250,646.80","8,035.25","494,921.22",935.58,"567,434.68",,"1,072.66","182,828.03",345.61,"1,123,543.27","2,123.90","2,154.68",4.07,"705,256.78","1,333.19","7,326,785.46","13,850.26"
, 7830614,State Specialty Schools II-Liberty Tech Charter Academy,430,"4,504,106.05","10,474.67","354,692.57",824.87,"244,574.11",,568.78,"87,997.43",204.65,"698,603.82","1,624.66",,,"657,389.73","1,528.81","6,547,363.71","15,226.44"
, 7830615,State Specialty Schools II-Genesis Innovation Academy for Boys,311,"3,068,710.00","9,867.23","278,321.00",894.92,"556,464.00",,"1,789.27","497,629.00","1,600.09","769,731.00","2,475.02","20,053.00",64.48,"435,196.00","1,399.34","5,626,104.00","18,090.35"
, 7830616,State Specialty Schools II-Genesis Innovation Academy for Girls,318,"2,953,229.00","9,286.88","301,515.00",948.16,"557,231.00",,"1,752.30","504,238.00","1,585.65","743,552.00","2,338.21","29,961.00",94.22,"424,852.00","1,336.01","5,514,578.00","17,341.43"
, 7830617,State Specialty Schools II-Resurgence Hall Charter School,400,"2,937,805.09","7,344.51","259,352.43",648.38,"360,694.63",,901.74,"284,917.08",712.29,"1,095,745.16","2,739.36","12,945.00",32.36,"388,280.69",970.70,"5,339,740.08","13,349.34"
, 7830618,State Specialty Schools II-SAIL Charter Academy - School for Arts-Infused Learning,551,"4,562,612.42","8,280.60","138,137.49",250.70,"14,204.00",,25.78,"32,470.07",58.93,"1,547,513.81","2,808.56",,,"587,711.39","1,066.63","6,882,649.18","12,491.20"
, 7830619,State Specialty Schools II-International Academy of Smyrna,336,"2,898,015.78","8,625.05","477,386.80","1,420.79","212,028.33",,631.04,"84,701.65",252.09,"983,939.71","2,928.39","5,392.66",16.05,"626,432.14","1,864.38","5,287,897.07","15,737.79"
, 7830620,State Specialty Schools II-International Charter Academy of Georgia,277,"1,921,028.22","6,935.12","224,220.53",809.46,"28,050.29",,101.26,"480,655.16","1,735.22","327,544.14","1,182.47","3,385.08",12.22,"363,575.69","1,312.55","3,348,459.11","12,088.30"
, 7830621,State Specialty Schools II-SLAM Academy of Atlanta,222,"2,006,977.00","9,040.44","30,419.00",137.02,,,,"175,983.00",792.72,"469,815.00","2,116.28",,,"768,650.00","3,462.39","3,451,844.00","15,548.85"
, 7830623,State Specialty Schools II-Academy For Classical Education,"1,825","14,869,466.51","8,147.65","1,608,278.85",881.25,"324,505.74",,177.81,"854,948.52",468.46,"1,156,443.00",633.67,"118,123.11",64.72,"2,695,699.94","1,477.10","21,627,465.67","11,850.66"
, 7830624,State Specialty Schools II-Spring Creek Charter Academy,472,"3,998,149.83","8,470.66","225,555.06",477.87,"279,019.35",,591.14,"22,395.10",47.45,"842,302.93","1,784.54","381,842.26",808.99,"1,360,590.87","2,882.61","7,109,855.40","15,063.26"
, 7830625,State Specialty Schools II-Yi Hwang Academy of Language Excellence,468,"3,744,460.62","8,000.98","230,966.81",493.52,"33,492.18",,71.56,"491,869.42","1,051.00","822,784.66","1,758.09",,,"337,957.26",722.13,"5,661,530.95","12,097.28"
, 7830626,State Specialty Schools II-Furlow Charter School,589,"5,950,693.99","10,103.05","211,511.12",359.10,"448,449.86",,761.37,"206,291.56",350.24,"631,295.02","1,071.81","162,484.99",275.87,"749,303.44","1,272.16","8,360,029.98","14,193.60"
, 7830627,State Specialty Schools II-Atlanta SMART Academy,225,"1,846,489.62","8,206.62","466,048.80","2,071.33","37,430.59",,166.36,"128,588.54",571.50,"619,508.36","2,753.37","181,340.77",805.96,"685,477.59","3,046.57","3,964,884.27","17,621.71"
, 7830628,State Specialty Schools II-Ethos Classical Charter School,679,"5,173,057.40","7,618.64","917,423.70","1,351.14","986,953.81",,"1,453.54","538,069.91",792.44,"1,423,856.90","2,096.99",,,"944,296.42","1,390.72","9,983,658.14","14,703.47"
, 7830630,State Specialty Schools II-Baconton Community Charter School,911,"8,462,646.00","9,289.40","496,935.00",545.48,"461,726.00",,506.83,"474,744.00",521.12,"1,008,094.00","1,106.58","60,805.00",66.75,"1,665,250.00","1,827.94","12,630,200.00","13,864.10"
, 7830632,State Specialty Schools II-Atlanta Unbound Academy,187,"1,597,750.31","8,544.12","377,925.84","2,020.99","234,899.96",,"1,256.15","109,526.48",585.70,"650,660.95","3,479.47",,,"782,804.82","4,186.12","3,753,568.36","20,072.55"
, 7830633,State Specialty Schools II-D.E.L.T.A. STEAM Academy,386,"3,494,713.93","9,053.66","194,374.00",503.56,"274,287.45",,710.59,"224,319.34",581.14,"752,409.55","1,949.25","44,800.00",116.06,"860,699.19","2,229.79","5,845,603.46","15,144.05"
