"Georgia Department of Education

School System Expenditures
Fiscal Year 2025 Financial Data Collection System",,,,,,,,,,,,,,,,,,,,
,"Please note: Systems marked with *  received funds that followed students to other systems.
              Legend at bottom of the page.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Records are sorted in Ascending order by System_id,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,System ID,System Name,FTE Reported on 2025 QBE Allotment,Instruction,Per FTE Instruction,Pupil Services,Per FTE Pupil Services,Staff Services,,Per FTE Staff Services,General Administration,Per FTE General Administration,School Administration,Per FTE School Administration,Transportation,Per FTE Transportation,Maintenance & Operation,Per FTE Maintenance & Operation,Total Expenditure,Per FTE total Expenditure
, 623,Catoosa County,"9,890","97,388,543.42","9,847.17","7,523,974.13",760.77,"6,863,649.41",,694.00,"3,717,928.75",375.93,"10,570,867.48","1,068.84","8,439,225.14",853.31,"12,262,587.13","1,239.90","146,766,775.46","14,839.92"
, 624,Charlton County,"1,525","14,710,571.98","9,646.28","938,941.75",615.70,"1,900,449.36",,"1,246.20","1,038,558.83",681.02,"1,630,805.12","1,069.38","1,299,343.16",852.03,"2,262,179.42","1,483.40","23,780,849.62","15,594.01"
, 625,Savannah-Chatham County,"34,915","374,211,231.99","10,717.78","45,226,350.67","1,295.33","34,312,362.08",,982.74,"38,500,107.66","1,102.68","39,343,339.34","1,126.83","34,161,232.78",978.41,"69,556,155.16","1,992.16","635,310,779.68","18,195.93"
, 626,Chattahoochee County,921,"7,802,342.54","8,471.60","950,748.64","1,032.30","622,778.43",,676.20,"983,940.62","1,068.34","1,310,518.89","1,422.93","873,392.37",948.31,"1,834,619.90","1,991.99","14,378,341.39","15,611.67"
, 627,Chattooga County,"2,592","21,874,506.80","8,439.24","1,824,951.20",704.07,"2,496,231.06",,963.05,"1,667,973.00",643.51,"1,995,069.82",769.70,"2,359,673.16",910.37,"3,113,257.96","1,201.10","35,331,663.00","13,631.04"
, 628,Cherokee County,"43,079","403,009,936.92","9,355.14","35,081,023.31",814.34,"32,577,636.21",,756.23,"14,415,048.30",334.62,"35,280,495.32",818.97,"32,967,435.82",765.28,"50,797,364.82","1,179.17","604,128,940.70","14,023.75"
, 629,Clarke County,"12,135","151,859,446.37","12,514.17","18,084,857.39","1,490.31","19,867,599.49",,"1,637.21","10,436,887.26",860.06,"14,105,400.15","1,162.37","15,054,180.25","1,240.56","27,536,493.85","2,269.18","256,944,864.76","21,173.86"
, 630,Clay County,173,"3,239,062.03","18,722.90","406,084.82","2,347.31","820,331.61",,"4,741.80","801,996.32","4,635.82","486,722.63","2,813.43","275,041.01","1,589.83","438,539.31","2,534.91","6,467,777.73","37,386.00"
, 631,Clayton County,"51,724","469,634,149.94","9,079.62","55,375,455.36","1,070.59","57,666,759.61",,"1,114.89","41,002,516.81",792.72,"43,445,072.79",839.94,"47,740,692.27",922.99,"75,328,860.79","1,456.36","790,193,507.57","15,277.11"
, 632,Clinch County,"1,173","11,240,515.68","9,582.71","1,314,658.12","1,120.77","965,631.82",,823.22,"910,848.45",776.51,"868,171.38",740.13,"839,854.84",715.99,"1,938,082.49","1,652.24","18,077,762.78","15,411.57"
, 633,Cobb County,"109,011","1,215,100,163.07","11,146.58","50,649,044.20",464.62,"85,643,362.07",,785.64,"76,737,494.02",703.94,"108,364,903.28",994.07,"84,989,729.01",779.64,"113,894,119.85","1,044.79","1,735,378,815.50","15,919.28"
, 634,Coffee County,"7,450","63,041,190.12","8,461.90","7,376,131.61",990.08,"6,202,770.30",,832.59,"2,955,770.51",396.75,"7,212,788.41",968.16,"6,308,479.96",846.78,"8,042,089.21","1,079.48","101,139,220.12","13,575.74"
, 635,Colquitt County,"8,778","82,797,352.22","9,432.37","8,207,565.89",935.02,"10,468,940.27",,"1,192.63","3,123,778.64",355.86,"6,810,853.91",775.90,"4,762,384.95",542.54,"13,122,190.30","1,494.90","129,293,066.18","14,729.22"
, 636,Columbia County,"28,626","238,292,016.00","8,324.32","9,704,847.36",339.02,"21,087,107.16",,736.64,"6,362,050.89",222.25,"21,149,900.30",738.84,"18,962,392.73",662.42,"32,400,002.16","1,131.84","347,958,316.60","12,155.33"
, 637,Cook County,"2,867","26,118,737.05","9,110.13","1,931,186.07",673.59,"1,293,736.36",,451.25,"1,793,934.46",625.72,"2,267,042.88",790.74,"2,376,519.82",828.92,"3,934,754.71","1,372.43","39,715,911.35","13,852.78"
, 638,Coweta County,"22,759","217,100,589.70","9,539.11","14,859,194.51",652.89,"10,808,800.85",,474.92,"9,509,890.03",417.85,"22,439,029.41",985.94,"17,683,932.40",777.01,"28,469,331.89","1,250.90","320,870,768.79","14,098.62"
, 639,Crawford County,"1,470","13,845,754.07","9,418.88","1,765,485.83","1,201.01","1,066,938.45",,725.81,"1,073,200.19",730.07,"1,709,400.75","1,162.86","1,455,556.33",990.17,"1,658,728.13","1,128.39","22,575,063.75","15,357.19"
, 640,Crisp County,"3,117","30,726,529.34","9,857.73","3,400,410.82","1,090.92","3,246,707.73",,"1,041.61","2,421,346.68",776.82,"3,500,039.16","1,122.89","2,804,383.20",899.71,"5,726,661.81","1,837.24","51,826,078.74","16,626.92"
, 641,Dade County,"1,885","17,032,868.35","9,036.00","1,182,585.95",627.37,"1,369,533.50",,726.54,"807,280.22",428.27,"1,664,836.17",883.20,"1,234,465.37",654.89,"2,290,907.99","1,215.34","25,582,477.55","13,571.61"
, 642,Dawson County,"4,258","38,606,807.25","9,066.89","3,279,594.68",770.22,"5,116,743.39",,"1,201.68","1,721,355.36",404.26,"3,440,966.61",808.12,"3,862,812.48",907.19,"5,479,731.58","1,286.93","61,508,011.35","14,445.29"
, 643,Decatur County,"4,010","35,438,671.15","8,837.57","2,965,343.94",739.49,"2,975,332.98",,741.98,"1,579,047.96",393.78,"3,002,386.54",748.72,"3,367,731.48",839.83,"6,290,443.57","1,568.69","55,618,957.62","13,870.06"
, 644,DeKalb County,"93,513","994,234,545.97","10,632.05","140,362,249.16","1,500.99","83,576,192.64",,893.74,"143,237,698.98","1,531.74","100,888,623.56","1,078.87","90,203,706.00",964.61,"210,000,097.55","2,245.68","1,762,503,113.86","18,847.68"
, 645,Dodge County,"2,580","23,833,951.37","9,237.97","2,192,964.54",849.99,"1,898,281.21",,735.77,"1,544,300.22",598.57,"1,829,310.38",709.04,"2,341,012.56",907.37,"2,485,241.48",963.27,"36,125,061.76","14,001.98"
, 646,Dooly County,"1,045","9,619,162.80","9,204.94","1,008,895.17",965.45,"1,668,899.29",,"1,597.03","2,646,150.27","2,532.20","1,505,486.52","1,440.66","1,763,766.25","1,687.81","1,659,981.23","1,588.50","19,872,341.53","19,016.59"
, 647,Dougherty County,"12,526","116,683,191.62","9,315.28","11,919,700.72",951.60,"21,091,879.69",,"1,683.85","17,452,068.82","1,393.27","13,021,651.54","1,039.57","7,444,898.92",594.36,"19,404,171.45","1,549.11","207,017,562.76","16,527.04"
, 648,Douglas County,"25,849","216,818,169.09","8,387.87","14,003,670.52",541.75,"22,298,067.44",,862.63,"16,306,642.40",630.84,"28,292,201.63","1,094.52","19,001,496.29",735.10,"30,738,697.38","1,189.16","347,458,944.75","13,441.87"
, 649,Early County,"1,426","15,570,856.31","10,919.25","1,335,261.89",936.37,"1,207,393.15",,846.70,"1,114,917.38",781.85,"1,560,761.51","1,094.50","1,016,597.72",712.90,"2,298,255.67","1,611.68","24,104,043.63","16,903.25"
, 650,Echols County,917,"7,002,707.08","7,636.54","401,909.28",438.29,"415,489.95",,453.10,"1,071,864.70","1,168.88","569,912.34",621.50,"594,477.05",648.28,"900,622.76",982.14,"10,956,983.16","11,948.73"
, 651,Effingham County,"14,067","127,151,470.14","9,038.99","15,037,504.30","1,068.99","12,742,745.40",,905.86,"7,546,764.46",536.49,"12,745,312.21",906.04,"9,975,101.62",709.11,"17,342,051.00","1,232.82","202,540,949.13","14,398.30"
, 652,Elbert County,"2,887","26,523,272.85","9,187.14","1,896,954.51",657.07,"2,542,513.36",,880.68,"1,768,687.86",612.64,"2,962,826.68","1,026.26","2,710,306.99",938.80,"3,866,449.87","1,339.26","42,271,012.12","14,641.85"
, 653,Emanuel County,"3,768","33,293,041.89","8,835.73","3,601,267.92",955.75,"2,345,895.66",,622.58,"3,890,754.27","1,032.58","3,216,595.95",853.66,"2,880,094.14",764.36,"3,733,947.41",990.96,"52,961,597.24","14,055.62"
, 654,Evans County,"1,733","14,970,172.35","8,638.30","1,997,026.85","1,152.35","1,795,837.64",,"1,036.26","1,923,818.50","1,110.11","2,264,699.72","1,306.81","1,168,243.99",674.12,"2,391,116.65","1,379.76","26,510,915.70","15,297.71"
, 655,Fannin County,"2,682","28,221,872.68","10,522.70","2,613,002.30",974.27,"3,357,255.28",,"1,251.77","1,762,672.45",657.22,"3,094,302.36","1,153.73","2,991,988.78","1,115.58","4,286,422.97","1,598.22","46,327,516.82","17,273.49"
, 656,Fayette County,"19,849","192,101,410.00","9,678.14","18,578,667.86",936.00,"13,478,648.78",,679.06,"10,840,351.50",546.14,"18,328,891.47",923.42,"10,614,397.67",534.76,"23,009,051.06","1,159.20","286,951,418.34","14,456.72"
, 657,Floyd County,"8,682","88,352,709.40","10,176.54","5,385,061.96",620.26,"6,387,058.22",,735.67,"5,898,017.04",679.34,"8,401,357.73",967.68,"5,245,457.19",604.18,"12,124,786.59","1,396.54","131,794,448.13","15,180.21"
, 658,Forsyth County,"55,313","524,236,986.82","9,477.65","20,296,681.11",366.94,"21,590,318.10",,390.33,"24,413,317.58",441.37,"40,640,671.66",734.74,"42,939,582.24",776.30,"54,731,032.27",989.48,"728,848,589.78","13,176.81"
, 659,Franklin County,"3,604","33,573,902.94","9,315.73","2,220,255.47",616.05,"3,054,496.73",,847.53,"1,707,954.14",473.91,"3,181,313.59",882.72,"4,854,759.38","1,347.05","4,386,891.72","1,217.23","52,979,573.97","14,700.22"
, 660,Fulton County,"86,863","888,885,801.60","10,233.19","111,501,186.43","1,283.64","108,413,270.08",,"1,248.09","83,554,639.22",961.91,"92,925,546.73","1,069.79","70,319,518.50",809.55,"145,330,767.29","1,673.10","1,500,930,729.85","17,279.27"
, 661,Gilmer County,"4,174","38,871,759.16","9,312.83","2,525,968.33",605.17,"3,652,900.58",,875.16,"1,946,413.14",466.32,"3,645,423.62",873.36,"3,334,429.17",798.86,"6,133,990.00","1,469.57","60,110,884.00","14,401.27"
